864	34.6812
6.59804	27.5961	7.98356
20.6236	31.0415	15.1582
13.8725	31.2131	24.2768
17.9327	22.8767	30.7133
21.2386	22.9969	24.6696
20.7696	7.04333	27.8507
17.3406	0	3.46812
17.3406	0	6.93624
23.7503	32.6651	14.4364
17.3406	0	13.8725
17.3406	0	17.3406
17.3406	0	20.8087
18.1927	0.392429	24.6446
17.3406	0	27.745
17.3406	0	31.2131
10.3226	7.17357	25.0819
17.3406	3.46812	3.46812
17.3406	3.46812	6.93624
17.3406	3.46812	10.4044
17.3406	3.46812	13.8725
17.3406	3.46812	17.3406
17.3406	3.46812	20.8087
17.3406	3.46812	24.2768
17.3406	3.46812	27.745
17.3406	3.46812	31.2131
17.3406	6.93624	0
17.3406	6.93624	3.46812
17.3406	6.93624	6.93624
25.5159	7.44283	10.4818
17.3406	6.93624	13.8725
17.3406	6.93624	17.3406
17.3406	6.93624	20.8087
17.3406	6.93624	24.2768
17.3406	6.93624	27.745
17.3406	6.93624	31.2131
17.3406	10.4044	0
17.3406	10.4044	3.46812
17.3406	10.4044	6.93624
17.3406	10.4044	10.4044
17.3406	10.4044	13.8725
17.3406	10.4044	17.3406
7.62137	1.10433	19.2907
16.108	10.4681	24.0913
20.6786	18.5089	24.0678
24.3014	14.7947	32.2136
23.1332	13.7042	3.0872
14.2459	9.06546	3.28188
17.3406	13.8725	6.93624
17.3406	13.8725	10.4044
17.3406	13.8725	13.8725
17.3406	13.8725	17.3406
17.3406	13.8725	20.8087
17.3406	13.8725	24.2768
17.3406	13.8725	27.745
17.3406	13.8725	31.2131
17.3406	17.3406	0
17.068	17.0652	4.83109
27.4309	11.4651	9.14229
22.8886	18.0371	15.311
17.3406	17.3406	13.8725
31.7254	22.9575	21.2298
17.3406	17.3406	20.8087
17.3406	17.3406	24.2768
17.4767	17.252	27.6903
27.1743	19.7826	25.7131
16.7663	27.5141	26.5654
17.3406	20.8087	3.46812
23.0268	24.6415	14.3469
17.3406	20.8087	10.4044
20.5403	21.209	13.8739
17.3406	20.8087	17.3406
17.3406	20.8087	20.8087
17.3406	20.8087	24.2768
17.3406	20.8087	27.745
17.277	18.4749	31.1655
17.3406	24.2768	0
21.0619	31.0573	11.9911
17.3406	24.2768	6.93624
17.3406	24.2768	10.4044
17.3406	24.2768	13.8725
17.3406	24.2768	17.3406
17.4193	20.9965	13.9688
17.659	30.3238	24.4383
17.3406	24.2768	27.745
26.2152	32.6359	29.9887
17.3406	27.745	0
17.3406	27.745	3.46812
17.3406	27.745	6.93624
25.8487	17.7547	13.9237
17.3406	27.745	13.8725
17.3406	27.745	17.3406
27.0001	24.1769	13.0098
24.3221	24.8025	18.771
24.2065	22.8256	27.4972
24.0189	27.8285	4.83531
17.3406	31.2131	0
17.3406	31.2131	3.46812
23.6893	1.78216	13.8281
17.8504	31.8668	9.00634
17.3406	31.2131	13.8725
17.3406	31.2131	17.3406
17.3406	31.2131	20.8087
23.1643	27.7913	25.22
17.3406	31.2131	27.745
26.3512	26.7125	23.199
20.8087	0	0
20.7149	3.46365	0.0456687
21.4406	34.4619	5.39155
27.626	31.79	5.11032
20.8087	0	13.8725
20.8087	0	17.3406
20.8087	0	20.8087
13.9539	33.8039	17.4646
23.7485	30.012	29.1678
20.8087	0	31.2131
23.85	29.6749	17.2859
20.7342	3.55443	4.19281
21.2523	3.30184	7.48375
20.5928	3.84065	11.7119
21.6826	15.488	25.1369
27.9048	2.66059	20.9425
20.8087	3.46812	20.8087
20.8087	3.46812	24.2768
20.8087	3.46812	27.745
21.8071	3.06266	31.0399
20.8087	6.93624	0
20.8087	6.93624	3.46812
20.8087	6.93624	6.93624
20.8087	6.93624	10.4044
20.8087	6.93624	13.8725
20.2112	6.13424	18.3477
5.34475	6.66711	18.7704
20.9994	7.26888	23.6097
33.862	20.8672	34.3523
20.8087	6.93624	31.2131
29.6034	17.4904	26.1006
20.8087	10.4044	3.46812
20.8087	10.4044	6.93624
31.2611	11.6315	3.66556
30.2283	9.44471	14.2506
27.8543	13.9424	20.575
20.8087	10.4044	20.8087
20.885	11.5489	24.5135
20.8087	10.4044	27.745
28.2507	13.095	0.612936
21.2945	13.9439	0.142719
19.0561	13.9622	3.21465
20.8087	13.8725	6.93624
19.487	16.6865	10.9739
20.8087	13.8725	13.8725
28.5434	17.5938	17.7263
21.0914	13.5296	18.6365
13.8765	7.23226	24.2945
20.8087	13.8725	27.745
20.8087	13.8725	31.2131
20.8087	17.3406	0
20.8087	17.3406	3.46812
20.7825	17.5272	7.24635
31.6076	20.1829	15.3709
13.8939	17.703	17.335
20.1984	17.3374	18.7654
19.0582	27.2296	24.0454
29.2499	15.1126	23.7386
20.8087	17.3406	27.745
20.8087	17.3406	31.2131
17.0047	20.5513	34.1365
12.0407	24.2711	0.669112
20.1234	21.1349	6.59506
20.8087	20.8087	10.4044
31.439	28.2577	9.30237
20.8087	20.8087	17.3406
20.8087	20.8087	20.8087
27.6478	25.5573	30.5893
20.8087	20.8087	27.745
20.1134	20.5159	32.6344
27.6441	32.0288	34.1592
20.5152	20.894	1.50023
